database,split,wav_path,duration,text,speaker,sex,emotion,lang
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00001.wav,15.51,"너도 나도, 다 멀쩡하게, 아무 일 없었던 것처럼 잘 살고, 사람들은 잠깐 화내봤자 그만이야, 어차피 만화캐릭턴데 뭐, 근데 강철만 저 차가운 물속에서, 살인범이라고 자책하면서, 벌써 두 달이 넘게 혼자 거기서, 그건 너무하잖아.",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00002.wav,13.74,"반경 삼십분 거리에 있는 우체국에 소포, 전보, 우편 발송, 택배 이용 내역 전부 체크하고 가족관계, 채무관계, 여자관계, 몇 시에 자는지, 누굴 만나는지, 치약은 뭘 쓰는지까지 다 알아내.",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00003.wav,13.17,"그래, 아빠를 쏜 것도 맞고, 용서하기 힘든 죄를 지은 것도 맞고, 이렇게 저주같은 만화는 그만 끝나야 되는 것도 맞고, 내가 또 거기 끌려가면 안 되는 것도 맞고, 다 맞는데, 그치만 아빠는 살아계시잖아!",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00004.wav,10.47,"당하는 입장에선 남자 손이건, 여자 손이건, 예술가 손이건, 대통령 손이건, 거지 손이고, 목사님 손이고, 손목 뿐질러버리고 싶긴 마찬가지거든요!",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00005.wav,8.82,최고의 실력을 갖춘 본교 출신이면 타교 후보에 비해 남다른 각오를 다질 수 있단 말씀을 드리려던 건데 말 좀 끝까지 들어주셨으면 합니다.,nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00006.wav,2.25,집구석이길래 그런 걸 조롱해!,nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00007.wav,11.64,"맥락도 없이 갑자기 나타나서 맥락도 없이 뺨 때리고 맥락도 없이 강제키스하고 맥락도 없이 또 사라졌다 나타나더니, 이젠 또 맥락도 없이 옷을 벗고 맥락도 없이 총을 들이대네요.",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00008.wav,9.51,"변호사님의 후배들이 갑자기 친구와 헤어져야 하고, 낯선 학교로 전학을 해야 하고, 똥통학교 출신이라고 손가락질 받으면서 주눅 들어 생활하게 된다고 생각해 보세요.",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00009.wav,11.04,"우리 아들에 비하면 키도 한참 작고, 그런데도 뭐가 그렇게 당당한지 내가 마음에 안 들어 했다고 글쎄 결혼 안하고 연애만 한다고 대꾸하는 거 있죠, 그게 요즘 애들 방식인가?",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00010.wav,9.21,"확실한 대안도 없으면서, 아이들은 제일 위하는 척 끌어안고만 있는 선생님 같은 분들 때문에 이 학교가 이 모양 이 꼴이 된 걸, 아직도 모르겠습니까?",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00011.wav,10.65,"이 따위 속셈으로 사교육 열풍이 어떻네 명문대 재학생반 이상 부모가 전문직이네 떠들어 대면서, 끊임없이 니네들 기를 죽이고 있는 걸 왜 모르냐 이 바보같은 놈들아.",nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00012.wav,11.76,"너라면 단 하나도 못 견딜 일들을 수없이 겪게 하면서, 그 알량한 손가락으로 마음껏 신이 나서 휘갈기면서, 아무 책임도 없이 나는 그 고통 하나하나를 다 기억하고 있는데!",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00013.wav,9.78,따라서 여기 계신 분들은 이 교수 협의회가 죽지 않았다는 것을 엄정한 투표로 증명해 주시길 선거 위원장으로서 간곡하게 부탁드리는 바입니다.,nc-f,w,angry,ko
nc,long,/data7/data/NC/NC/wav/nc-f_angry_00014.wav,11.49,"나중에 행복할라구 돈 안쓰구, 먹고 싶은 거 안먹구 다 참고, 그래서 나중에 막상 행복할려고 하니까 암 걸리고 사고당해서 딱 죽어 버리고 그런 거야, 완전 억울하게.",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00015.wav,8.46,"사진으로만 봤겠지, 그저 사진 몇 장에 희생자 이름, 직업, 발견장소, 시각, 그게 당신이 아는 전부겠지만. 난 아냐!",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00016.wav,8.61,"아버지 회사 기어들어와 다 차려진 밥상 받을 거면 그냥 현장 우리한테 맡기고 설렁설렁 술이나 마시구 다니지, 여긴 왜 나와 일을 배우겠대?",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00017.wav,8.97,"네가 원래도 개념이 없었지만 유난히 개기기 시작한 게 언제부턴가 생각을 해봤더니 말야, 내가 더블유 팬이라고 한 다음부터야 정확히.",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00018.wav,8.01,"이사장님 멋대로 운영권 이전이다 학교 청산이다 해서 변호사를 불러들여선, 애들 모아놓고 해괴한 소리나 지껄이게 합니까?",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00019.wav,7.56,"한 해에 몇 백명이 이유 모르게 죽지만, 내 눈앞에서 사람 죽인 놈 절대 용서 안하는 세상, 난 거기 살고 있으니까.",nc-f,w,angry,ko
nc,train,/data7/data/NC/NC/wav/nc-f_angry_00020.wav,7.2,교수 협의회에 속한 과장님들은 누구나 단 한 표씩 자신이 직접 비밀리에 투표하는 게 바로 원칙 아니겠습니까?,nc-f,w,angry,ko
