database,split,wav_path,duration,text,speaker,sex,emotion,lang
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0000.wav,3.5,그는 괜찮은 척하려고 애쓰는 것 같았다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0001.wav,4.0,그녀의 사랑을 얻기 위해 애썼지만 헛수고였다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0002.wav,1.8,용돈을 아껴 써라.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0003.wav,2.3,그는 아내를 많이 아낀다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0004.wav,1.3,그 애 전화번호 알아?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0005.wav,1.7,차에 대해 잘 아세요?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0006.wav,2.8,거기 도착하면 나한테 알려 줘.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0007.wav,3.5,그들은 내가 시험에 떨어졌다고 알려 왔다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0008.wav,4.2,나는 살아오면서 감기를 앓은 적이 한 번도 없다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0009.wav,3.2,사흘 동안 심하게 몸살을 앓았어요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0010.wav,1.9,요즘 공부가 안돼요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0011.wav,2.5,장사가 잘 안돼서 우울해.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0012.wav,3.1,아무 것도 먹지 않으면 죽게 되어 있다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0013.wav,3.8,그녀는 이유를 묻지 않고 돈을 빌려 주었다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0014.wav,2.2,내가 아기를 안고 있을게.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0015.wav,4.0,엄마는 말없이 나를 꼭 안아 주셨다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0016.wav,1.1,자리에 앉으세요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0017.wav,2.2,한 여자가 내 옆에 앉았다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0018.wav,3.8,일일사에 전화를 해서 번호를 알아보시지 그러세요?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0019.wav,1.9,내가 누군지 알아보겠니?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0020.wav,4.1,그는 절대 다른 사람의 의견을 받아들이지 않는다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0021.wav,4.0,아이들도 언젠가는 그녀를 엄마로 받아들일 거야.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0022.wav,2.2,어디에서 영어를 배우셨어요?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0023.wav,2.9,동료에게서 수화를 배우고 있습니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0024.wav,2.4,이거 다른 걸로 바꿀 수 있을까요?,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0025.wav,2.3,색깔을 바꾸는 게 나을 거 같아.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0026.wav,1.8,소영이 좀 바꿔 주세요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0027.wav,2.1,눈이 얼음으로 바뀌었어.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0028.wav,2.6,핸드폰이 네 거랑 바뀐 거 같아.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0029.wav,3.4,그 차는 들판에 버려진 채 발견됐다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0030.wav,4.1,이번 달 초에 상어떼가 해안가에서 발견됐다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0031.wav,3.3,오타를 발견하시는 분께 사례하겠습니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0032.wav,3.6,결국 그의 개가 그의 시신을 발견했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0033.wav,4.3,정신분석학은 이십 세기에 급격히 발전했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0034.wav,4.7,한국어 실력이 날이 갈수록 발전하는 것을 보니 기쁩니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0035.wav,3.4,죄송하지만 제 이름을 밝힐 수는 없어요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0036.wav,2.9,정전이 되어 촛불을 밝혔다.,kss-w,w,neutral,ko
kss,val,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0037.wav,4.7,모두가 시험에 통과했음을 발표하게 되어 기쁘게 생각합니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0038.wav,4.3,그 밴드는 첫 음반을 발표한 직후에 해체했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0039.wav,2.7,화재가 발생하지 않도록 조심해라.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0040.wav,3.1,어제 일본에서 태풍이 발생했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0041.wav,2.6,돌고래는 지능이 발달했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0042.wav,3.0,이 지역에는 농업이 발달했어요.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0043.wav,2.9,그녀는 내 제안에 반대했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0044.wav,2.6,저는 무력 사용을 반대합니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0045.wav,3.6,밤늦게 남의 집을 방문하는 것은 실례다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0046.wav,3.5,저희 회사에 방문해 주셔서 감사드립니다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0047.wav,3.1,너는 브레이크를 너무 세게 밟아.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0048.wav,4.7,어떤 남자가 지하철에서 내 발을 밟고 모른 척했다.,kss-w,w,neutral,ko
kss,train,/data2/sungjaecho/data_tts/KSS/KSS/wav/kss-w_1-0049.wav,4.5,그녀는 호기심으로 가득찬 눈으로 나를 바라보았다.,kss-w,w,neutral,ko
